ID,ResortName,Continent,Country,StateProvince,URL,Altitude,Easy,Intermediate,Difficult,Adult,Youth,Child,Currency,ResortSize,SlopeOfferingVariety,LiftsAndCableCars,Latitude,Longitude
2,49-degrees-north-mountain-resort,North America,USA,Washington State,http://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,1760,20,27,21,58,0,48,US Dollar,3.5,3.9,3,48.3010972,-117.5629161
3069,mt-bohemia,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-bohemia/,445,0,3,10,59,0,0,US Dollar,2.2,2.2,3,47.3885878,-88.0221712
443,big-bear-at-masthope-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,450,3,2,2,59,0,45,US Dollar,1.9,2.3,3,41.5232598,-75.0250626
5232,west-mountain,North America,USA,New York,http://www.skiresort.info/ski-resort/west-mountain/,435,5.9,2.1,1.7,59,49,45,US Dollar,2,2.3,3,43.2856216,-73.7252813
1036,donner-ski-area,North America,USA,Western United States,http://www.skiresort.info/ski-resort/donner-ski-area/,2240,6,8,0,59,47,25,US Dollar,2.2,2.2,3,39.3176821,-120.3303293
3042,mount-seymour,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/mount-seymour/,1265,9,9,5,59,45,26,Canadian Dollar,2,3,3,49.3933333,-122.9444444
513,bogus-basin,North America,USA,Idaho,http://www.skiresort.info/ski-resort/bogus-basin/,2311,11,22,17,59,49,25,US Dollar,3.2,3.5,3.7,43.7640569,-116.1026168
2945,mont-saint-sauveur,North America,Canada,Quebec,http://www.skiresort.info/ski-resort/mont-saint-sauveur/,629,10,20,8,59.99,49.99,39.99,Canadian Dollar,3,3,4,45.88492,-74.151827
2884,mohawk-mountain,North America,USA,Connecticut,http://www.skiresort.info/ski-resort/mohawk-mountain/,454,3,2,3,60,0,52,US Dollar,1.9,2.3,3,41.838231,-73.3150586
2743,marble-mountain-steady-brook-humber-valley,North America,Canada,Newfoundland and Labrador,http://www.skiresort.info/ski-resort/marble-mountain-steady-brook-humber-valley/,546,4,8,6,60,35,30,Canadian Dollar,2.4,2.7,3.6,48.9481564,-57.8310109
4296,silver-mountain,North America,USA,Idaho,http://www.skiresort.info/ski-resort/silver-mountain/,1920,4,8,13,60,0,45,US Dollar,2.6,2.9,3.8,48.964664,-116.7468914
2169,kissing-bridge,North America,USA,New York,http://www.skiresort.info/ski-resort/kissing-bridge/,520,4.5,4.8,8.5,60,0,50,US Dollar,2.3,2.7,3,42.6001848,-78.6526985
1835,hudson-bay-mountain-smithers,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/hudson-bay-mountain-smithers/,1650,18,13,6,60,45,30,Canadian Dollar,2.9,3.2,2.5,54.780112,-127.1711829
590,bridger-bowl-bozeman,North America,USA,Montana,http://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,2682,20,26,25,60,0,22,US Dollar,3.6,4,3,45.8173562,-110.8966184
3636,plattekill,North America,USA,New York,http://www.skiresort.info/ski-resort/plattekill/,1014,4.5,6,6,61,50,48,US Dollar,2.3,2.7,2.9,41.6239741,-74.0593872
1815,horseshoe-resort,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/horseshoe-resort/,390,2,3.8,0.2,62,0,49,Canadian Dollar,1.7,1.9,3.3,44.5494768,-79.672466
2958,montage-mountain-resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/montage-mountain-resort/,594,2,4,3.5,62,0,49,US Dollar,2,2.3,3,41.3512429,-75.6629169
4238,shawnee-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/shawnee-mountain/,350,4,9,5,62,0,45,US Dollar,2.3,2.6,3.2,41.039612,-75.085262
2952,mont-sutton,North America,Canada,Quebec,http://www.skiresort.info/ski-resort/mont-sutton/,840,6,7,7,62,43,35,Canadian Dollar,2.4,2.8,3.2,45.1046261,-72.5618618
2937,mont-orford,North America,Canada,Quebec,http://www.skiresort.info/ski-resort/mont-orford/,850,10,8,12,62,46,35,Canadian Dollar,2.8,3.2,3.5,45.292364,-72.263024
3067,mt-baker,North America,USA,Washington State,http://www.skiresort.info/ski-resort/mt-baker/,1525,24,45,31,62,40,30,US Dollar,3.9,4.2,3,48.7766868,-121.8144143
2736,mansfield-ski-club,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/mansfield-ski-club/,370,0.6,2,1.4,63,0,50,Canadian Dollar,1.5,1.8,2.7,44.195702,-80.052056
3070,mt-brighton,North America,USA,Michigan,http://www.skiresort.info/ski-resort/mt-brighton/,340,1,3.5,1.7,63,0,0,US Dollar,1.7,2,2.7,42.5407834,-83.8115528
4680,sunlight-mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/sunlight-mountain/,3015,4,11,5,63,0,45,US Dollar,2.5,2.8,3,39.4263707,-107.380331
1491,grouse-mountain,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/grouse-mountain/,1250,5.2,14.4,13.4,63,45,28,Canadian Dollar,2,3,4,49.3801396,-123.081458
5244,white-pass,North America,USA,Washington State,http://www.skiresort.info/ski-resort/white-pass/,1986,10,12,8,63,0,43,US Dollar,2.8,3.2,3.7,46.6387257,-121.389528
5224,wenatchee-mission-ridge,North America,USA,Washington State,http://www.skiresort.info/ski-resort/wenatchee-mission-ridge/,2078,10,60,30,63,0,43,US Dollar,4,4.3,3.4,47.2924455,-120.3997706
5274,wilmot-mountain,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/wilmot-mountain/,292,1.4,1.6,1,64,0,59,US Dollar,1.5,1.9,2.9,42.4989548,-88.1876602
663,burke-mountain,North America,USA,Vermont,http://www.skiresort.info/ski-resort/burke-mountain/,975,2,4,4,64,55,47,US Dollar,2.1,2.4,3.7,44.5711658,-71.8923159
917,crotched-mountain,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/crotched-mountain/,630,2.5,4,1.5,64,0,54,US Dollar,1.9,2.2,3.4,42.9984151,-71.8736895
525,boreal,North America,USA,Western United States,http://www.skiresort.info/ski-resort/boreal/,2357,6,11,3,64,44,34,US Dollar,2.4,2.7,3.3,39.3364539,-120.3498347
614,brundage-mountain,North America,USA,Idaho,http://www.skiresort.info/ski-resort/brundage-mountain/,2328,6,15,9,64,37,23,US Dollar,2.8,3.1,3.4,45.0054,-116.1544121
4604,stoneham-mountain-resort,North America,Canada,Quebec,http://www.skiresort.info/ski-resort/stoneham-mountain-resort/,632,8,14,10,64,45,30,Canadian Dollar,2.7,3.1,3.7,47.0303739,-71.3930229
4378,skyloft,North America,Canada,Ontario,http://www.skiresort.info/ski-resort/skyloft/,404,1.5,2.5,1,65,0,55,Canadian Dollar,1.7,2,2.7,44.030133,-79.0760715
732,cataloochee,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/cataloochee/,1583,1.5,3,1.5,65,0,47,US Dollar,1.7,2.1,3,35.6401005,-83.0801441
619,bryce-resort,North America,USA,Virginia,http://www.skiresort.info/ski-resort/bryce-resort/,533,2,2.8,0.2,65,0,58,US Dollar,1.7,1.9,3,38.8174647,-78.7656946
